OBJECTID,Latitude,Longitude,Name,Address,City,Zip Code,x,y
145,33.963318,-118.3134275,SAINT MARK UNITED METHODIST CHURCH,8305 S GRAMERCY PL,LOS ANGELES,90047,6466628.5958218,1809179.19491039
146,33.87897848,-118.1208366,BETHANY CHRISTIAN REFORMED CHURCH,17054 BIXBY AVE,BELLFLOWER,90706,6524991.68283555,1778359.99933106
147,34.00474311,-118.1191031,HEART OF COMPASSION DISTRIBUTION,600 S MAPLE AVE,MONTEBELLO,90640,6525572.09702906,1824127.87006548
148,33.964722,-118.3089835,NEW DIRECTION COMMUNITY PROGRAMS,8124 S WESTERN AVE,LOS ANGELES,90047,6467977.73223114,1809685.96587847
149,34.23191627,-118.4691843,NORTH VALLEY CARING SERVICES INC,15453 RAYEN ST,NORTH HILLS,91343,6419854.43904223,1907110.03382523
150,34.07983467,-118.0983615,SALVATION ARMY SAN GABRIEL CORPS,125 E VALLEY BLVD,SAN GABRIEL,91776,6531885.28289346,1851448.35151364
151,34.37666846,-118.5250447,SANTA CLARITA VALLEY FOOD PANTRY,24133 RAILROAD AVE,NEWHALL,91321,6403245.34627622,1959870.83808032
152,34.03383697,-118.2694875,ST. FRANCIS CENTER - LOS ANGELES,1835 S HOPE ST,LOS ANGELES,90015,6480021.44862922,1834803.77259815
153,34.02782575,-118.2753949,HOPE-NET - ST. JOHN'S EPISCOPAL,514 W ADAMS BLVD,LOS ANGELES,90007,6478225.64480613,1832621.02958831
154,34.07493809,-118.0907465,ST. ANTHONY'S CHRISTIAN SERVICE,1901 S SAN GABRIEL BLVD,SAN GABRIEL,91776,6534189.58832422,1849664.22450447
155,33.78786739,-118.3095473,WAYSIDE UNITED METHODIST CHURCH,25904 CAYUGA AVE,LOMITA,90717,6467608.57089597,1745325.09427239
156,33.73607651,-118.2916755,HARBOR INTERFAITH SERVICES INC,670 W 9TH ST,SAN PEDRO,90731,6472984.54669255,1726460.72025581
157,33.9165022,-118.317788,HOLLYPARK UMC OUTREACH PROGRAM,13000 S VAN NESS BLVD,GARDENA,90249,6465252.48702547,1792146.12661439
158,33.8033275,-118.1106,ST. GREGORY'S EPISCOPAL CHURCH,6201 E WILLOW ST,LONG BEACH,90815,6528068.6008943,1750825.10951906
159,34.0262996,-117.919498,SHEPHERD'S PANTRY - LA PUENTE,504 N RIMGROVE DR,LA PUENTE,91744,6586062.93864556,1831961.09619689
160,34.28091079,-118.4430805,ST. FERDINAND OUTREACH CENTER,1040 CORONEL ST,SAN FERNANDO,91340,6427823.12914155,1924904.05335523
161,34.1336373,-117.9023788,ST. FRANCES OF ROME FOOD BANK,501 E FOOTHILL BLVD,AZUSA,91702,6591212.21935748,1871027.90848306
162,33.8288398,-118.276644,ST. PHILOMENA CATHOLIC CHURCH,21900 S MAIN ST,CARSON,90745,6477647.86938688,1760206.85059807
163,34.02603856,-118.2565326,ALL PEOPLES COMMUNITY CENTER,822 E 20TH ST,LOS ANGELES,90011,6483939.25214531,1831955.5154994
164,34.18269767,-118.3261618,BURBANK TEMPORARY AID CENTER,1304 W BURBANK BLVD,BURBANK,91506,6463026.19423397,1889027.56178814
165,33.77053449,-118.1860515,CHRISTIAN OUTREACH IN ACTION,515 E 3RD ST,LONG BEACH,90802,6505123.36463264,1738924.66120714
166,34.0985154,-118.3350997,HOPE-NET - BLESSED SACRAMENT,6657 SUNSET BLVD,LOS ANGELES,90028,6460220.90194431,1858401.1492878
167,34.06727728,-118.271794,REGIS HOUSE COMMUNITY CENTER,2212 BEVERLY BLVD,LOS ANGELES,90057,6479355.53591906,1846975.18985631
168,34.1070744,-117.8510611,SHEPHERD'S PANTRY - GLENDORA,657 E ARROW HWY STE J,GLENDORA,91740,6606756.16366322,1861380.23519315
169,34.07353673,-118.2593327,ST. ATHANASIUS AND ST. PAUL,840 ECHO PARK AVE,LOS ANGELES,90026,6483135.40040655,1849243.14529414
170,34.609023,-117.8222895,TWIN LAKES COMMUNITY CHURCH,17213 LAKE LOS ANGELES AVE,PALMDALE,93591,6615142.74465905,2044063.44823806
171,34.002648,-118.308959,FAITH IN CHRIST MINISTRIES,4501 S WESTERN AVE,LOS ANGELES,90062,6468027.58416556,1823487.94253956
172,33.82710389,-118.0719825,HAWAIIAN GARDENS FOOD BANK,22121 NORWALK BLVD,HAWAIIAN GARDENS,90716,6539807.30412288,1759467.31500365
173,34.05772118,-118.2902552,HOPE-NET - FIRST UNITARIAN,2936 W 8TH ST,LOS ANGELES,90005,6473754.39882739,1843513.18660973
174,34.0836317,-118.1699475,AMERICAN RENASCENT CENTER,5210 EDNA ST #6,LOS ANGELES,90032,6510210.52079688,1852859.09114623
175,34.08126931,-117.7528949,BETHEL FOOD BANK OUTREACH,1921 N GAREY AVE,POMONA,91767,6636495.43817405,1852047.84965847
176,33.927759,-118.0466155,CATHOLIC RAINBOW OUTREACH,11419 CARMENITA RD,WHITTIER,90605,6547528.93828589,1796093.60001865
177,34.0210131,-118.1501655,EASTMONT COMMUNITY CENTER,701 S HOEFNER AVE,LOS ANGELES,90022,6516166.43047297,1830061.45137414
178,33.87134332,-118.3948656,HOPE CHAPEL HERMOSA BEACH,2420 PACIFIC COAST HWY,HERMOSA BEACH,90254,6441802.4545293,1775794.77020957
179,34.06639721,-118.2916366,HOPE-NET - ISLAMIC CENTER,434 S VERMONT AVE,LOS ANGELES,90020,6473345.14570889,1846671.75903273
180,34.032123,-118.2915795,ST. AGNES CATHOLIC CHURCH,2625 S VERMONT AVE,LOS ANGELES,90007,6473326.25795139,1834198.70786339
181,33.99556361,-118.4189664,ST. GERARD MAJELLA CHURCH,4439 INGLEWOOD BLVD,LOS ANGELES,90066,6434674.72797114,1821030.53767748
182,34.04867785,-118.2161248,WHITE MEMORIAL SDA CHURCH,401 N STATE ST,LOS ANGELES,90033,6496200.77945948,1840165.59422356
183,34.03022741,-118.1505735,BIENESTAR HUMAN SERVICES,5326 E BEVERLY BLVD,LOS ANGELES,90022,6516047.81948972,1833414.90398481
184,33.92889004,-118.1540514,DOWNEY COUNCIL PTA HELPS,7810 QUILL DR STE S,DOWNEY,90242,6514937.52709089,1796537.74119073
185,33.8945907,-118.3453305,SOUTHBAY OUTREACH CENTER,4046 MARINE AVE,LAWNDALE,90260,6456868.64388505,1784199.63430531
186,33.94449548,-118.2461849,ST. LAWRENCE OF BRINDISI,10122 COMPTON AVE,LOS ANGELES,90002,6487001.98945814,1802272.5331988
187,34.65758933,-118.1476103,SHEKINAH WORSHIP CENTER,42640 10TH ST WEST,LANCASTER,93534,6517280.90855896,2061723.41291806
188,34.1148915,-117.882038,VILLAGE COVENANT CHURCH,5607 BARRANCA AVE,AZUSA,91702,6597375.70342155,1864212.57139198
189,34.173711,-118.612304,WEST VALLEY FOOD PANTRY,5700 RUDNICK AVE,WOODLAND HILLS,91367,6376466.4434693,1886161.19416131
190,34.04354232,-118.3180745,WORLD HARVEST FOOD BANK,3100 VENICE BLVD,LOS ANGELES,90019,6465311.85764164,1838378.74641931
191,34.08055962,-117.9762142,CHURCH OF THE REDEEMER,3739 MONTEREY AVE,BALDWIN PARK,91706,6568872.91462672,1851698.45567223
192,34.7052433,-118.1116278,DESERT VINEYARD CHURCH,1011 E AVENUE I,LANCASTER,93534,6528120.83340138,2079052.17419223
193,33.96269119,-118.0650459,INTERFAITH FOOD CENTER,11819 BURKE ST,SANTA FE SPRINGS,90670,6541946.06657764,1808809.29341923
194,34.25176238,-118.4247314,KHALSA CARE FOUNDATION,9989 LAUREL CANYON BLVD,PACOIMA,91331,6433321.23035005,1914272.58282031
195,33.8043464,-118.185302,"AIDS FOOD STORE , THE",590 E WILLOW ST,LONG BEACH,90806,6505373.84477472,1751229.31835631
196,34.0236767,-118.2488553,CHRISTIAN FOOD CENTER,1355 E WASHINGTON BLVD,LOS ANGELES,90021,6486263.39251013,1831090.14190206
197,33.9088631,-118.3521973,HOPE CHAPEL HAWTHORNE,13560 S HAWTHORNE BLVD,HAWTHORNE,90250,6454802.89900081,1789400.89227548
198,34.28216252,-118.3915533,PEACE LUTHERAN CHURCH,11690 FENTON AVE,LAKE VIEW TERRACE,91342,6443390.3253693,1925294.95480439
199,34.19377148,-118.608462,FAMILY RESCUE CENTER,22103 VANOWEN ST,CANOGA PARK,91303,6377672.71205413,1893454.37576914
200,34.24995447,-118.5784425,FISH OF WEST VALLEY,20440 LASSEN ST,CHATSWORTH,91311,6386868.10147172,1913846.4481739
201,34.7030117,-118.1374805,GRACE RESOURCES INC,45134 N SIERRA HWY,LANCASTER,93534,6520349.75248688,2078249.65315948
202,34.04472806,-118.24528,LOS ANGELES MISSION,303 E 5TH ST,LOS ANGELES,90013,6487365.45493856,1838748.4625434
203,34.09922548,-117.9006525,ACTION FOOD PANTRY,17880 E COVINA BLVD,COVINA,91722,6591747.00568947,1858505.3265729
204,34.04727676,-118.2982421,CENTRO SANTO TOMAS,2727 W PICO BLVD,LOS ANGELES,90006,6471323.96110298,1839719.35758322
205,34.08588876,-118.0291786,OUR SAVIOUR CENTER,4368 SANTA ANITA AVE,EL MONTE,91731,6552835.34729247,1853638.25986348
206,33.8934877,-118.2283345,ST. TIMOTHY CHURCH,312 S OLEANDER AVE,COMPTON,90222,6492373.87438364,1783696.90958898
207,34.07419728,-118.269789,"DREAM CENTER, THE",2301 BELLEVUE AVE,LOS ANGELES,90026,6479969.52255197,1849491.86526914
208,33.7923597,-118.3173674,HIS HELPING HANDS,25501 OAK ST,LOMITA,90717,6465237.45588756,1746967.37281197
209,34.11472265,-117.9741144,SHEPHERD'S PANTRY,1418 ARROW HWY,IRWINDALE,91706,6569505.55181289,1864131.18015055
210,33.9977529,-118.4781377,ST. JOSEPH CENTER,204 HAMPTON DR,VENICE,90291,6416742.84880872,1821907.29281373
211,34.03434487,-118.3065052,FIRST AME CHURCH,2270 S HARVARD BLVD,LOS ANGELES,90018,6468806.48024556,1835020.74034005
212,33.96968972,-118.3502294,FOOD PANTRY LAX,355 E BEACH AVE,INGLEWOOD,90302,6455477.14502764,1811534.82536973
213,34.16889948,-118.141344,FRIENDS IN DEED,444 E WASHINGTON BLVD,PASADENA,91104,6518915.24026406,1883876.17117231
214,33.87801249,-118.203889,POOLS OF HOPE,6801 LONG BEACH BLVD,LONG BEACH,90805,6499781.32347947,1778049.1725249
215,34.28918881,-118.4327613,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - LIGHTHOUSE OF SAN FERNANDO,622 N MACLAY AVE,SAN FERNANDO,93140,6430953.33744806,1927902.96828914
216,34.10184683,-117.7850837,DAVID AND MARGARET YOUTH AND FAMILY SERVICES - FOOD DISTRIBUTION SITE,1351 PALOMARES AVE,LA VERNE,91104,6626732.45638771,1859513.97842698
217,34.70220066,-118.1340162,OUR LADY OF CHARITY CONFERENCE - THE SOCIETY OF ST. VINCENT DE PAUL,45058 TREVOR ST,LANCASTER,93534,6521390.57422414,2077953.08419882
218,33.96768328,-118.0552948,SALVATION ARMY CORPS COMMUNITY CENTER - WHITTIER,12000 WASHINGTON,WHITTIER,90606,6544903.95337839,1810624.25173156
219,34.14607496,-118.1479315,SOUTHERN CALIFORNIA INDIAN CENTER - LOS ANGELES,117 EAST COLORADO BLVD STE 600,PASADENA,91105,6516910.36664914,1875572.78850089
220,33.93791277,-118.2925239,AARON COMMUNITY CULTURAL CENTER,1010-B W 108TH ST,LOS ANGELES,90044,6472940.34566547,1799914.61140548
